id,title,company,predicted_skills,final_skills,notes,text
3900980597,"Clinical Psychologist - Lincoln, NE",The Job Network,manage time; prescribe medication; psychology,manage time; prescribe medication; psychology,,"MRG Exams Providing Disability Assessments Nationwide To Serve Our Veterans Help Military Families – Achieve Work-Life Balance – Make a Difference Founded in 1998, MRG is a provider of Independent Medical Exams for Worker’s Compensation, Disability, and the Veterans Administration. Find out more at MRGExams.com. Job Overview Are you a Licensed Psychologist with a PsyD, or Ph.D. looking to take on an assessment role? Are you interested in performing Independent Medical Assessments vs. traditional patient care? Would you find it rewarding to serve the Veteran community? Would you enjoy being able to review medical records and complete assessment questionnaires to help Veterans? Description We are looking for a Licensed Psychologist to perform medical assessments on United States Veterans as part of the VA’s disability benefits process. In performing Disability Assessments, you will review behavioral health records electronically through a secure Web Portal and perform a comprehensive assessment in person on each Veteran. You will also complete Disability Benefits Questionnaires (DBQs) through the Web Portal. The Licensed Psychologist DOES NOT make disability determinations. The U.S. Veterans Administration makes all disability determinations, in part using the findings recorded in the DBQs. This role ONLY performs Disability Assessments on Veterans. You will NOT treat, and you will NOT prescribe medication in this position. Licensed Psychologist will review and assess 3 (sometimes 4) Veterans per day on average. Licensed Psychologist will be brought on as an Independent Contractor Schedule Part-Time- Mon, Tues, Wed (8 am-5 pm) This is an IN-PERSON position. Requirements MRG Exams is looking for a Licensed Psychologist who: Has a Ph.D. or Psy.D and has graduated from an APA Accredited program/school. Holds an active & unrestricted Psychology license. Benefits Malpractice Insurance covered by MRG Health insurance options available. PandoLogic. Keywords: Clinical Psychologist, Location: Lincoln, NE - 68503"
3889447427,Sous Chef Fine Dining,Goodwin Recruiting,communication; plan,communication; plan,,"To Apply for this Job Click Here Nestled in the heart of Houston, our restaurant has garnered acclaim for its innovative approach to fine dining, where every dish is crafted with passion and precision. We are committed to providing an unforgettable experience that delights the senses and leaves a lasting impression on our guests. Position Overview We are seeking a talented and experienced Sous Chef to join our culinary team. The Sous Chef will work closely with the Executive Chef to maintain the highest standards of culinary excellence and uphold our reputation as one of the finest dining destinations in Houston. The ideal candidate will be a creative and dynamic individual with a strong background in fine dining, exceptional leadership skills, and a passion for delivering exceptional cuisine. Responsibilities Collaborate with the Executive Chef to plan and develop innovative menus that showcase seasonal ingredients and elevate the dining experience.Oversee day-to-day kitchen operations, ensuring efficiency, quality, and consistency in all culinary endeavors.Supervise and mentor kitchen staff, providing guidance and support to foster a culture of teamwork, excellence, and continuous improvement.Maintain strict adherence to food safety and sanitation standards, ensuring compliance with all regulatory requirements.Assist in inventory management, ordering supplies, and controlling food costs to maximize profitability.Exhibit strong leadership skills by leading by example, fostering a positive work environment, and inspiring a culture of excellence and creativity in the kitchen. Requirements Proven experience as a Sous Chef or senior position in a fine dining establishment.Culinary degree or equivalent certification preferred.Extensive knowledge of culinary techniques, ingredients, and flavor profiles.Strong leadership and management skills with the ability to motivate and inspire a team.Exceptional organizational and time management skills with the ability to thrive in a fast-paced environment.Excellent communication and interpersonal skills.Flexibility to work evenings, weekends, and holidays as required. Benefits Competitive salary commensurate with experience.Health, dental, and vision insurance coverage.Paid vacation and sick leave.Opportunities for career growth and advancement.Discounted dining at our stores for employees and their families. Join our team and be part of a culinary journey where creativity, innovation, and excellence converge to create extraordinary dining experiences. If you have a passion for fine dining and a drive for culinary excellence, we invite you to apply for the position of Sous Chef. At Goodwin Recruiting we are committed to our core values. We take our value, Dedicated to Diversity & Inclusion, very seriously and will never discriminate against a candidate or client based on any protected classes. Our clients seek qualified candidates, and that is what we deliver. A person's age, gender, race, sexual orientation, gender identity, national origin, veteran or disability status, or arrest or conviction record has no bearing on whether he, she, or they are able to do the job. We evaluate the knowledge, skills, and abilities that meet the requirements of the position and aim to open doors and change lives. We value all people, understanding that uniqueness and diversity foster a stronger team that is innovative and brings varying perspectives to the table. We put our money where our mouth is and are proud of our efforts to identify a broad slate of candidates, with many hiring success stories to share. JOB ID: 134206 #post Fred Lutz To Apply for this Job Click Here , $65,000 - $75,000,"
3884846560,Vice President – Digital Marketing Strategy – Head of Commerce Payments,JPMorgan Chase & Co.,apply information security policies; business loans; communication; economics; lead others; metrology; plan; pregnancy; project management; think creatively,apply information security policies; business loans; communication; economics; lead others; metrology; plan; pregnancy; project management; think creatively,,"Job Description Join our dynamic Payments Marketing team, a key part of Connected Commerce, where you will have the opportunity to promote growth and engagement with our innovative payment products, within Commerce Payments – a newly designed product group organized to support our customers in paying where, when, and how. As the Vice President, Digital Marketing Strategy Head of Commerce Payments, you will be the key marketing stakeholder in standing up Commerce Payments as a standalone product business and partnering closely with the product team as well as cross-functionally across Chase (both credit card and consumer bank). This role will be focused on scaling the Commerce Payments products with strategy and objective development, KPI measurement and management of new product launches and innovation capabilities to grow digital adoption and usage, which support key Commerce business and product priorities. As the Commerce Marketing Strategy Lead you will focus on the recommendation and prioritization of areas of opportunity and the integration of key messaging/benefits into compelling, measurable and cross-functionally supported marketing plans. This role provides an opportunity to contribute to the growth of the payments business and work in a fast-paced, results-promoted, highly dynamic environment. Job Responsibilities Scale Commerce with new product and integration launches; design go-to-market plans, and ongoing management of new payment products and capabilities Be the key marketing stakeholder in the design of Commerce payments as a standalone product group; establishing marketing OKRs and consistent KPI reporting, assist in the establishment of controls and implement required cadence and establish new cadence and leadership position within the Commerce Payments teamDrive awareness and education; design always on messaging leveraging owned channels to reinforce new/existing product features and benefits Preferred Qualifications, Capabilities And Skills Proactive, positive attitude, self starter approachThink broadly and analytically, can embrace the white space to drive new approaches to business improvements and influence change An innovative thought leader, change agent and strategic thinker who understands market, consumer behavior and funnel dynamics Proven track record in developing strategy and connecting it to actionable and measurable roadmap to achieve desired business goalsHave excellent verbal/written communication, and strong presentation skillsExceptional leadership, relationship building and influencing skills. The position requires a large degree of cross-functional collaboration and coordination.Create structure, plan, organize and prioritize workstreams regularly to facilitate design and successful delivery of high priority initiatives with tangible outcomesLead, manage and develop 1-2 direct reports Required Qualifications, Capabilities, And Skills Strong project management and communication skills5+ years of marketing experienceExperience working with creative agencies (internal and external) and developing creative briefs ABOUT US Chase is a leading financial services firm, helping nearly half of America’s households and small businesses achieve their financial goals through a broad range of financial products. Our mission is to create engaged, lifelong relationships and put our customers at the heart of everything we do. We also help small businesses, nonprofits and cities grow, delivering solutions to solve all their financial needs. We offer a competitive total rewards package including base salary determined based on the role, experience, skill set, and location. For those in eligible roles, discretionary incentive compensation which may be awarded in recognition of individual achievements and contributions. We also offer a range of benefits and programs to meet employee needs, based on eligibility. These benefits include comprehensive health care coverage, on-site health and wellness centers, a retirement savings plan, backup childcare, tuition reimbursement, mental health support, financial coaching and more. Additional details about total compensation and benefits will be provided during the hiring process. We recognize that our people are our strength and the diverse talents they bring to our global workforce are directly linked to our success. We are an equal opportunity employer and place a high value on diversity and inclusion at our company. We do not discriminate on the basis of any protected attribute, including race, religion, color, national origin, gender, sexual orientation, gender identity, gender expression, age, marital or veteran status, pregnancy or disability, or any other basis protected under applicable law. We also make reasonable accommodations for applicants’ and employees’ religious practices and beliefs, as well as mental health or physical disability needs. Visit our FAQs for more information about requesting an accommodation. Equal Opportunity Employer/Disability/Veterans About The Team Our Consumer & Community Banking division serves our Chase customers through a range of financial services, including personal banking, credit cards, mortgages, auto financing, investment advice, small business loans and payment processing. We’re proud to lead the U.S. in credit card sales and deposit growth and have the most-used digital solutions – all while ranking first in customer satisfaction. We offer a broad array of credit cards to meet the needs of individuals and small businesses, including Chase-branded and co-branded cards in partnership with well-known companies and organizations. Merchant Services is a leading provider of payment, fraud and data security for companies, capable of authorizing transactions across global currencies."
3903884004,Registered Nurse 7 East Cardiac Telemetry (Nights),Endeavor Health,computer science; define part requirements; philosophy; plan; resuscitation; swedish,computer science; define part requirements; philosophy; plan; resuscitation; swedish,,"Position Highlights Sign on bonus: 10K for nightsPosition: Registered Nurse 7 East Cardiac TelemetryLocation: Chicago, ILFull TimeHours: Nights (7p-7:30a); every other weekend required; rotating holidaysRequired Travel: None What You Will Need Graduate from an accredited school of nursing.Communicates effectively.Current Illinois Nursing LicensureAmerican Heart Association CPR CertificationACLS, PALS, NRP may be required within six months depending on the unit requirements General Summary Registered Nurse is accountable for providing high quality, individualized, directed nursing care for all levels of patients and their family in accordance with the mission, vision and philosophy of the Division of Nursing. Responsibilities Essential Functions Demonstrates a commitment to the mission of Swedish Hospital and exhibits a service orientation and adheres to all responsibilities and standards of the hospital.Utilizes the nursing process to assess, diagnosis, plan, implement, and evaluate the delivery of nursing care to patients and their families.Attains knowledge and competency reflective of current standards of practice.Interacts and contributes to the professional development of peers and colleagues.Integrates ethical provisions in all areas of nursing practice. Integrates evidence-based practice and research findings into nursing practice.Systematically enhances the quality and effectiveness of nursing practice.Promotes safety measures to prevent patient and staff injuries.Identifies patients correctly by using two unique ways.Observes, checks and monitors all equipment used to confirm that items are functioning properly.Maintains a safe therapeutic working environment and recognizes need for action in emergency situations.Documentation is thoroughly and timely completed. Other Functions Performs other related duties as assigned or requested. Patient Care/Age Specific Responsibilities And Qualifications Staff Nurses working in specialty areas possess a knowledge of procedures specific to that patient population including age specific needs. MANAGEMENT RESPONSIBILITY Committee membership and participation INTERNAL AND EXTERNAL CONTACTS Patients and their families and significant others, Division of Nursing Staff, Medical Staff, and other hospital personnel. ACCESS TO PROTECTED HEALTH INFORMATION Computer system access for the Nursing Division is assigned based on criteria and on the minimum necessary as described in this job description. Approval for level of access is given by the system administrator (for Nursing Division, this is Nursing Informatics) or the department that has ownership of system/module. See computer system Access Control policy. May be in an upright position and moving about most of the working timeMay lift heavy objectsUse of computerPotential for exposure to chemicals, airborne diseases, blood and bodily fluidsRisk of injury by violent patient EOE: Race/Color/Religion/Sex/National Origin/Protected Veteran/Disability The above statements are intended to describe the general nature and level of work performed by employees assigned to this classification. They are not intended to be as an exhaustive list of all responsibilities, duties and skills required of personnel so classified. Benefits Career Pathways to Promote Professional Growth and DevelopmentVarious Medical, Dental, and Vision optionsTuition ReimbursementWellness Program Savings PlanHealth Savings Account OptionsRetirement Options with Company MatchPaid Time Off and Holiday PayCommunity Involvement Opportunities"
3905337400,Software Defined Radio (SDR) Engineer,Protingent,algorithms; assume responsibility; c++; communication; computer engineering; electronics; field-programmable gate arrays; integrated circuits; laboratory equipment; signal processing; think creatively,algorithms; assume responsibility; c++; communication; computer engineering; electronics; field-programmable gate arrays; integrated circuits; laboratory equipment; signal processing; think creatively,,"Job Description Position Title: Software Defined Radio (SDR) Engineer Position Description: Protingent Staffing has an exciting Direct Hire Software Defined Radio (SDR) Engineer opportunity located in Falls Church, VA. Job Responsibilities: The SDR Engineer will be responsible for design, development, and testing of all SDR software including its FPGA and host interface. This includes: Evaluating SDRs for incorporation into our payload and spacecraft systemsUnderstanding the hardware-based requirements of SDRs, e.g., FPGA size, speed, internal clock stability, I/O interfaces, sample rates, dynamic range, radio chip architecture, gains and filtering as the signal progresses within the SDR.Designing and evaluating DSP algorithms for satellite communication systemsUpdating or creating host interface software to interact with the SDRsDeveloping test software and drivers to support unit, integration, and system testing of all SDR software functions.Writing this software in C, C++, or other languages in a Linux environmentWorking with other software team members to benchmark payload software applications.Testing and validating hardware blocks both in simulation and on targetDeveloping and maintaining documentation and ICDs for in-house IP blocks and other SDR related software Job Qualifications: A Master’s degree (or better) in Electrical/Computer Engineering or related fieldExcellent foundation in DSP and Communication TheoryAt least three years of recent experience working with SDRsIn-depth knowledge of digital signal processing (DSP) algorithms and communication theory (e.g., filter design, clock recovery, signal detection, channel estimation and equalization)Experience with implementing DSP algorithms in C/C++Experience with device driversAbility to create testbenches for benchmarking and testingKnowledge in PHY and MAC layers of cellular standards (e.g., GSM, LTE, 5G) is a plus.Experience with implementing DSP algorithms in FPGAs is a plus, but optionalExperience using lab equipment for testing and validationExperience with evaluating SDR platforms and specifications Job Details: Direct HireLocation: Falls Church, VA About Protingent: Protingent is a niche provider of top Engineering and IT talent to Software, Electronics, Medical Device, Telecom, and Aerospace companies nationwide. Protingent exists to make a positive impact and contribution to the lives of others as well as our community by providing relevant, rewarding, and exciting work opportunities for our candidates."
3894899379,Healthcare Fraud Investigator,Ardelle Associates,fraud detection; law enforcement; manage time; write work-related reports,fraud detection; law enforcement; manage time; write work-related reports,,"Ardelle Associates is seeking Healthcare Fraud Investigator to support the Department of Justice (DOJ) United States Attorney’s Office (USAO) in Pensacola, FL. The investigator will provide investigator services to the USAO in connection with healthcare fraud matters, with particular emphasis on civil healthcare investigations and litigation pursued under the False Claims Act. These services will include, without limitation:DutiesIndependently plans and conducts all aspects of healthcare fraud investigations. Cases may involve sensitive matters.Develops an understanding of all applicable federal laws and regulations to the extent necessary to make sound decisions on the direction and scope of investigations.Works with Assistant U.S. Attorneys (AUSAs) to determine proof required to demonstrate violations of law, and to devise and select most effective investigative methods for obtaining, preserving, and presenting such proof.Coordinates with Attorneys and any law enforcement agents to conduct witness interviews and/or surveillance as necessary to support the investigation or litigation of the particular case, and write reports documenting the interviews and/or surveillance.Conducts public record research as necessary to locate witnesses or surveillance sites. Surveillance activities occur in locations that are open and accessible to the public where there is little to no risk of physical harm.Coordinates with AUSAs to prepare written requests for information (e.g., subpoenas, discovery requests) relevant to the investigation or litigation of the particular case. Analyzes records produced in response, and assists in categorizing those records material to particular witnesses or the larger case. Records will include claims data and patient files.Experience & Education5 years of planning and executing civil and criminal fraud investigation ExperienceA working knowledge of federal False Claims Act. The investigator should be able to identify documentary and testimonial evidence relevant to violations of this statute.Experience drafting legal processes for obtaining information relevant to ongoing investigations, such as subpoenas, affidavits in support of search warrants, or written discovery requests.Experience in analyzing, organizing, and presenting large volumes of dataLegal and law enforcement terminologyMust have a valid driver's licenseFour year undergraduate degree is preferredJob Types: Full-time, ContractPay: $32.00 - $38.00 per hourBenefits: 401(k) matchingDental insuranceHealth insuranceLife insurancePaid time offVision insurance Schedule: 8 hour shiftMonday to Friday Travel requirement: Up to 25% travel Education: Bachelor's (Preferred) Experience: civil or criminal complex investigations: 5 years (Preferred) Ability to Relocate: Pensacola, FL 32502: Relocate before starting work (Required) Work Location: In person Edit job"
3904385746,Maintenance Manager,RPM Living,carpentry; communication; computer assisted language learning; lead others; morality; perform cleaning duties; plan,carpentry; communication; computer assisted language learning; lead others; morality; perform cleaning duties; plan,,"Overview Looking for something different? We ARE that something different at RPM Living. Dynamic and fast growth culture and multiple nationwide opportunities let YOU shape your future with us. Top industry pay and benefits, best industry practices, career training and education, people-first focus...… we show you the way to success. The position: The Maintenance Manager is responsible for maintaining the physical integrity of the community at all times. This involves insuring a clean and well maintained living environment for residents, visitors and staff. It is the Maintenance Manager’s duty to anticipate, identify and correct any and all problems involving the property and to implement procedures that will prevent such problems. The ideal candidate will be passionate about one’s work with excellent communication skills. The pay: The anticipated pay range for this opportunity is $26.00-$28.00 an hour plus monthly bonuses and competitive benefits package. Responsibilities Supervises and ensures the proper maintenance of the property and grounds based on RPM and property objectives Safely supervises and directs maintenance staff Maintains property operating budget, including creating PO and getting approval prior to purchases Review work orders, prioritize and complete in a safe and timely manner Ensure all work orders are responded to within 24 - 48 hoursDevelop schedules, coordinate and manage make-ready program for the property in conjunction with the property manager and property staff Coordinate with vendors and contractors to complete work in a safe and timely mannerProperly secure and care for property equipment and suppliesImplement preventative maintenance plan Walk property weekly, identify maintenance & safety related issues and manage repair process Ability to be on call for after-hours emergencies Qualifications A minimum of 2 years of related experiencePrior experience in Multifamily Community maintenance, plumbing, carpentry, electrical, and painting preferredValid Driver’s License EPA or HVAC certification; CPO certification preferred Employment with RPM Living is contingent upon successful completion of a background check and possessing a valid driver’s license. RPM Living is an Equal Opportunity Employer. This job title is associated with Apartment Maintenance, Lead Maintenance, Maintenance Supervisor, Community Maintenance Lead, or Maintenance Director. Company Information Join RPM Living and experience exceptional benefits designed to enhance your life. Weekly pay for all associates working onsite at an apartment community Comprehensive healthcare coverage available for all full-time, regular associates Employer paid employee assistance, mental health, and wellness programs Ancillary benefits including critical illness, hospital indemnity, and accident insurance 401(k) with robust company match Opportunities for progressional development career growth and role-based learning plans Diversity, Equity, Inclusion and Belonging (DEIB) and multiple Employee Resource Groups (ERG) Paid time off plus floating holidays and volunteer days Discounted Perks (Costco membership, movie tickets, health & wellness, entertainment & travel discounts) RPM Living participates in E-Verify. For more information, see the E-Verify Participation Poster and the Right to Work Poster ."
3901691958,Events Sales Coordinator,Beacon Hill Staffing Group,communication; history; lead others; life sciences; trademarks; work independently,communication; history; lead others; life sciences; trademarks; work independently,,"Are you an experienced professional looking to join an esteemed hotel? Our client is search for a temporary to hire Event Sales Coordinator in Washington, DC! Collaborate with various departments and customers to ensure seamless event execution, serving as a crucial liaison between sales personnel and clients. Your proactive approach in resolving operational challenges and managing banquet and meeting spaces will contribute to exceptional customer satisfaction. This is the perfect opportunity to showcase your administrative prowess and contribute to impactful events, apply now!About the Job:Prepare event documentation and collaborate with sales, hotel departments, and clients for consistent, high-level service throughout all event phases, identifying opportunities for revenue optimization.Act as a liaison between field sales personnel and clients throughout events, ensuring a visible presence and offering solutions to any challenges.Proactively identify and address operational challenges during events, working with hotel staff and clients to find effective solutions.Manage banquet and meeting space for assigned groups, ensuring optimal utilization and client satisfaction.Advise sales staff on accommodating client demands and support promotional efforts, lead generation, and re-bookings.Input and access data in computer systems to generate account history reports, facilitating effective event management.About You:1+ years of administrative or hospitality experience is required; strong internships count!Proficiency with Microsoft Office Suite and Salesforce.Tech savvy with strong written and oral communication skills.Experience using Delphi is strongly preferred.Attention to detail and ability to work independently are required.About the Position:$20/hr while temporary$24/hr when permanent100% on-siteOffice in Washington, DC Beacon Hill is an Equal Opportunity Employer that values the strength diversity brings to the workplace. Individuals with Disabilities and Protected Veterans are encouraged to apply. If you would like to complete our voluntary self-identification form, please click here or copy and paste the following link into an open window in your browser: https://jobs.beaconhillstaffing.com/eeoc/ Completion of this form is voluntary and will not affect your opportunity for employment, or the terms or conditions of your employment. This form will be used for reporting purposes only and will be kept separate from all other records. Company Profile: Founded by industry leaders to set a new standard in search, career placement and flexible staffing, we deliver coordinated staffing solutions with unparalleled service, a commitment to project completion and success and a passion for innovation, creativity and continuous improvement. Our niche brands offer a complete suite of staffing services to emerging growth companies and the Fortune 500 across market sectors, career specialties/disciplines and industries. Over time, office locations, specialty practice areas and service offerings will be added to address ever changing constituent needs. Learn more about Beacon Hill Staffing Group and our specialty divisions, Beacon Hill Associates, Beacon Hill Financial, Beacon Hill HR, Beacon Hill Legal, Beacon Hill Life Sciences and Beacon Hill Technologies by visiting www.beaconhillstaffing.com. We look forward to working with you. Beacon Hill. Employing the Future (TM)"
3895826765,Youth Care Worker I SAFEty,Heartland Alliance,communication; patents; politics,communication; patents; politics,,"Position: Youth Care Worker Location: Rogers Park, Chicago, IL Shift: 12a-8:30a Summary: Passionate about Youth Well-being? Join Us as a Youth Care Worker. Are you ready to make a meaningful impact on the lives of youth? We're seeking dedicated individuals like you to join our team as Youth Care Workers. In this role, you'll provide direct care, supervision, and support to ensure the safety and well-being of the youth in our SAFEty program. If you're passionate about advocacy, education, and being a positive role model, we invite you to apply! Our Benefits Medical insurance.Dental insurance.Vision insurance.401(k) match.Paid maternity leave.Paid paternity leave.Commuter benefits.Student loan assistance.Tuition assistance.Disability insurance. Duties & Responsibilities Condu cts intakes and assessments.Implements Individual Service Plans and behavior mentorship plans.Supervises and ensures the safety of youth during shifts.Engages youth in daily routines and activities.Maintains program documentation and submits reports on time.Provides supportive supervision and guidance.Utilizes Crisis Prevention Institute (CPI) techniques.Assists with household responsibilities in residential programs. Qualifications High sch ool diploma or equivalent.Minimum 1 year of experience in youth services or related field.At least 21 years of age.A valid driver's license may be required.Ability to pass a background check by the Illinois Department of Children and Family Services. Knowledge/Skills/Abilities (K/S/A) Ability to maintain professionalism and confidentiality.Commitment to the mission and values of the organization.Strong interpersonal, oral, and written communication skills.Initiative and time management in a fast-paced environment.Problem-solving skills and ability to engage youth effectively.Willingness to participate in recreational and therapeutic activities.Flexibility to attend training session s outside regular hours. Physical Demands: The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform essential functions. Ability to remain on organization premises during breaks and meal periods. Training & Development During your first two weeks yo u will attend a training program to become acquainted with the Safety Program and Operations as well as an overview of the Heartland Human Care Services Organization.Annually you will participate in essential training.Additionally, Heartland offers several online courses fo r professional development. Equal Opportunity Employer Statement Heartland Human Care Services makes all hiring and employment decisions, and operates all programs, services, and functions without regard to race, receipt of an order of protection, creed, color, age, gender, gender identity, marital or parental status, religion, ancestry, national origin, amnesty, physical or mental disability, protected veterans status, genetic information, sexual orientation, immigrant status, political affiliation or belief, use of FMLA, VESSA, military, and family military rights, ex-offender status (depending on the offense and position to be filled), unfavorable military discharge, membership in an organization whose primary purpose is the protection of civil rights or improvement of living conditions and human relations, height, weight, or HIV infection, in accord with the organization's AIDS Policy Statement of September 1987. 12a-8:30a"
3904956957,"Stock Associate, Tulare Outlet",Michael Kors,adapt to change; customer service; pregnancy,adapt to change; customer service; pregnancy,,"STOCK ASSOCIATE THE OPPORTUNITY Our contributors at Michael Kors are stylish, fashion forward individuals who are passionate about the customer experience and achieving results. As a Stock Associate, you are a flexible team player with the ability to multitask and thrive in a fun, inspiring and fast-paced store environment. WHAT YOU’LL DO: Keep selling floor and stock room neat, organized and stocked Execute all shipping and receiving protocols and policies Demonstrate flexibility and perform stock tasks with speed and excellence Ensure cleanliness and visual standards are maintained throughout the day Consistently support selling team with business needs while prioritizing the customer experience Drive Omni channel sales by utilizing all available tools and technology WE’D LOVE TO SEE: 1+ year of relevant retail experience Energetic and motivated with the ability to drive results Customer service focused Technologically savvy, organized individual THE BENEFITS Cross-Brand Discount Internal mobility across Versace, Jimmy Choo and Michael Kors Exclusive Employee Sales At Capri, we are all responsible for creating a diverse and inclusive workplace. We try to inspire change and growth within each other and believe success is a result that comes from our differences. Capri is proud to be an equal opportunity employer committed to inclusivity regardless of age, sex, sexual orientation, gender identity, genetic characteristics, race, color, creed, religion, ethnicity, national origin, alienage, citizenship, disability, marital status, military status, pregnancy, or any other legally-recognized protected basis prohibited by applicable law. M/D/F/V In compliance with certain Pay Transparency laws, employers are required to disclose a salary range. The salary for this position will vary based on role requirements, skill set and years of experience."
