concept,count
plan,13
manage time,11
morality,9
history,9
think creatively,8
pregnancy,5
metrology,4
assume responsibility,4
computer assisted language learning,4
lead others,4
perform cleaning duties,4
report facts,4
energy,4
trademarks,3
perform procurement processes,3
genetics,3
application process,3
patents,2
electronics,2
manufacturing plant equipment,2
show commitment,2
business processes,2
acoustics,2
move objects,2
assist customers,2
seek innovation in current practices,2
make decisions,2
prescribe medication,1
apply information security policies,1
project management,1
computer science,1
define part requirements,1
philosophy,1
swedish,1
life sciences,1
politics,1
evaluate training,1
sporting events,1
microprocessors,1
express yourself creatively,1
food and beverage industry,1
deliver outstanding service,1
develop strategy to solve problems,1
betting,1
negotiate compromises,1
sap data services,1
nuclear energy,1
electrical machines,1
solar energy,1
italian,1
statistics,1
network marketing,1
show entrepreneurial spirit,1
marketing management,1
economics,1
crafting,1
present evidence,1
electronic communication,1
financial forecasting,1
implement ict recovery system,1
organise information,1
environmental engineering,1
knowledge management,1
art collections,1
microscopic techniques,1
fingerspelling,1
manage quantitative data,1
acute care,1
periodisation,1
remove dust,1
computer programming,1
english,1
spanish,1
think critically,1
agricultural chemicals,1
source digital game creation systems,1
types of ceiling,1
blockchain consensus mechanisms,1
mentor individuals,1
driving examinations,1
communication,1
