ad_id,gold_n,lex_n,llm_n,lex_recall,llm_recall
3900980597,6,3,6,0.333,0.5
3889447427,1,2,11,1.0,1.0
3884846560,5,10,21,1.0,0.2
3903884004,11,6,13,0.091,0.727
3905337400,20,11,14,0.5,0.4
3894899379,11,4,17,0.273,0.455
3904385746,14,7,14,0.286,0.571
3901691958,11,6,6,0.182,0.455
3895826765,14,3,7,0.071,0.357
3904956957,7,3,11,0.286,0.571
3887895966,14,6,15,0.143,0.286
3898178281,4,2,3,0.25,0.0
3884811170,12,4,3,0.167,0.333
3904719782,9,3,7,0.222,0.222
3906090695,15,7,10,0.4,0.333
3905251316,13,9,18,0.462,0.385
3902371340,22,16,21,0.455,0.5
3887714081,10,6,11,0.5,0.3
3889420192,11,6,12,0.364,0.273
3906072593,13,6,10,0.308,0.462
3884916543,12,4,6,0.25,0.25
3888818903,15,10,15,0.267,0.467
3901689943,15,5,26,0.067,0.333
3903844325,9,5,6,0.333,0.444
3901629904,14,7,5,0.143,0.286
3885106084,20,8,26,0.25,0.55
3905673959,16,10,13,0.438,0.375
3906258116,14,6,16,0.143,0.357
3889778254,9,4,6,0.222,0.444
3902834206,9,4,5,0.111,0.333
3889420811,8,3,7,0.25,0.5
3902747950,13,9,15,0.385,0.462
3902739506,18,9,13,0.389,0.444
3889125200,14,12,19,0.357,0.571
3905302153,10,8,8,0.4,0.4
3900077704,8,4,20,0.0,0.75
3884926568,14,7,34,0.143,0.714
3895213845,9,8,11,0.111,0.667
3887493703,14,5,12,0.143,0.357
3888962553,12,4,7,0.333,0.25
3905292891,11,7,10,0.273,0.273
3884937111,9,4,8,0.444,0.889
3902322747,12,8,24,0.25,0.583
3901697286,13,9,17,0.385,0.615
3884925952,14,1,6,0.0,0.0
3891289628,10,7,14,0.2,0.4
3900938819,14,4,15,0.214,0.643
3902358755,7,0,5,0.0,0.286
3905680513,13,7,16,0.385,0.308
3884899894,20,9,20,0.25,0.55
3903457651,16,11,13,0.562,0.125
3887914770,7,7,17,0.286,0.429
3884443038,19,15,14,0.579,0.368
3889490158,12,7,6,0.333,0.25
3905372619,15,6,16,0.267,0.467
3891067970,14,8,11,0.214,0.643
3901176510,17,8,15,0.235,0.529
3888022976,10,2,15,0.2,0.2
